genre,n_tracks_collected,n_popularity_valid,n_popularity_zero,share_zero,mean_pop_all,median_pop,trimmed_mean_5,mean_pop_nonzero,share_nonzero,p10,p25,p75,p90,iqr
Metal,993,993,0,0.0,62.63947633434038,62.0,62.55865921787709,62.63947633434038,1.0,53.0,58.0,67.0,73.0,9.0
Folk Metal,744,744,1,0.0013440860215053765,22.338709677419356,22.0,22.159701492537312,22.36877523553163,0.9986559139784946,8.0,14.0,30.0,37.0,16.0
Christian Metal,899,899,66,0.07341490545050056,11.03559510567297,8.0,10.178791615289766,11.909963985594239,0.9265850945494994,1.0,3.0,16.5,25.0,13.5
J-metal,900,900,401,0.44555555555555554,4.771111111111111,1.0,3.5382716049382714,8.605210420841683,0.5544444444444444,0.0,0.0,6.0,15.0,6.0
Latin Metal,912,912,722,0.7916666666666666,1.4594298245614035,0.0,0.8369829683698297,7.005263157894737,0.20833333333333334,0.0,0.0,0.0,8.0,0.0
Jazz Metal,905,905,791,0.8740331491712707,0.7259668508287292,0.0,0.18404907975460122,5.7631578947368425,0.12596685082872927,0.0,0.0,0.0,1.0,0.0
Atmospheric Black Metal,46,46,46,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Alternative Metal,334,334,334,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Black Thrash,62,62,62,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Brutal Death Metal,104,104,104,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Canadian Metal,168,168,168,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Brutal Deathcore,13,13,13,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Chaotic Black Metal,34,34,34,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Charred Death,29,29,29,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Crossover Thrash,41,41,41,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Cryptic Black Metal,11,11,11,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Cyber Metal,31,31,31,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Dark Black Metal,9,9,9,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Death Metal,850,850,850,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Alternative Metalcore,43,43,43,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Black Death,199,199,199,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Black Metal,824,824,824,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Black Sludge,28,28,28,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Atmospheric Post-metal,53,53,53,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Deep Symphonic Black Metal,23,23,23,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Deep Melodic Metalcore,12,12,12,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Deep Melodic Death Metal,16,16,16,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Deep Folk Metal,42,42,42,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Deathgrind,78,78,78,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Depressive Black Metal,59,59,59,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Doom Metal,345,345,345,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Djent,76,76,76,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Funeral Doom,10,10,10,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Funk Metal,137,137,137,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
German Metal,140,140,140,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Glam Metal,287,287,287,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Doomcore,201,201,201,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Drone Metal,17,17,17,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Electronicore,4,4,4,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Finnish Metal,241,241,241,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Gothic Symphonic Metal,98,98,98,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Gothic Metal,211,211,211,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Gothic Doom,30,30,30,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Goregrind,363,363,363,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Groove Metal,60,60,60,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Grisly Death Metal,32,32,32,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Grim Death Metal,36,36,36,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Grindcore,317,317,317,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Hard Rock,714,714,714,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Metal,154,154,154,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Melodic Death Metal,80,80,80,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Mathcore,31,31,31,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Melodic Metalcore,16,16,16,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Melodic Power Metal,5,5,5,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Melodic Progressive Metal,20,20,20,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Metal Guitar,719,719,719,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Metalcore,398,398,398,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Necrogrind,77,77,77,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Neo Classical Metal,120,120,120,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Neo Metal,285,285,285,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Neo-trad Metal,79,79,79,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Neue Deutsche Harte,186,186,186,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Norwegian Metal,59,59,59,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Nu Metal,570,570,570,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Nwobhm,121,121,121,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Nwothm,37,37,37,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Pagan Black Metal,56,56,56,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Post-metal,498,498,498,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Power Metal,712,712,712,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Progressive Metal,438,438,438,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Rap Metal,145,145,145,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Rap Metalcore,32,32,32,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Raw Black Metal,29,29,29,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Retro Metal,17,17,17,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Slam Death Metal,291,291,291,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Sludge Metal,84,84,84,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Speed Metal,44,44,44,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Stoner Metal,52,52,52,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Stoner Rock,378,378,378,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Swedish Metal,158,158,158,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Symphonic Black Metal,74,74,74,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Symphonic Metal,309,309,309,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Technical Brutal Death Metal,41,41,41,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Technical Death Metal,136,136,136,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Thrash Metal,402,402,402,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Thrash-groove Metal,10,10,10,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Unblack Metal,128,128,128,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Viking Metal,64,64,64,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Avantgarde Metal,0,0,0,,,,,,,,,,,
Death Core,0,0,0,,,,,,,,,,,
Deep Thrash Metal,0,0,0,,,,,,,,,,,
